support_id,support_tuple,support_size,support_mask,x_CooperateBot,x_CupodBot,x_DBot,x_DefectBot,x_DupocBot,x_OBot,x_TitForTatBot,x_EBot,c,c_crosscheck,is_interior,is_singular,tangent_eigvals,max_re_eigval,min_re_eigval,has_complex_eigvals,within_face_class,external_invasion_fitnesses,max_external_fitness,externally_stable,overall_class
233,"(CupodBot, DBot, DefectBot, DupocBot, TitForTatBot, EBot)",6,01111011,,-0.5,-0.49999999999999994,1.5,0.5,,0.0,0.0,-1.4999999999999998,-1.5,False,False,[],,,False,,{},-inf,True,non_interior
234,"(CupodBot, DBot, DefectBot, OBot, TitForTatBot, EBot)",6,01110111,,0.3333333333333333,0.0,3.700743415417188e-17,,0.6666666666666666,0.0,0.0,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
235,"(CupodBot, DBot, DupocBot, OBot, TitForTatBot, EBot)",6,01101111,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
236,"(CupodBot, DefectBot, DupocBot, OBot, TitForTatBot, EBot)",6,01011111,,0.0,,1.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,False,False,[],,,False,,{},-inf,True,non_interior
237,"(DBot, DefectBot, DupocBot, OBot, TitForTatBot, EBot)",6,00111111,,,-2.0,6.0,-1.0000000000000002,-2.0,0.0,0.0,-6.0,-5.999999999999998,False,False,[],,,False,,{},-inf,True,non_interior
238,"(CooperateBot, CupodBot, DBot, DefectBot, DupocBot, OBot, TitForTatBot)",7,11111110,0.3333333333333334,-0.22222222222222204,-0.33333333333333326,0.9999999999999998,0.22222222222222207,-0.11111111111111109,0.11111111111111115,,4.440892098500621e-16,4.694461554742175e-16,False,False,[],,,False,,{},-inf,True,non_interior
239,"(CooperateBot, CupodBot, DBot, DefectBot, DupocBot, OBot, EBot)",7,11111101,-1.0000000000000007,-1.333333333333333,-0.9999999999999998,4.0,1.3333333333333333,-0.6666666666666669,,-0.33333333333333365,-6.000000000000001,-5.999999999999995,False,False,[],,,False,,{},-inf,True,non_interior
240,"(CooperateBot, CupodBot, DBot, DefectBot, DupocBot, TitForTatBot, EBot)",7,11111011,0.777777777777778,4.163336342344337e-17,-0.11111111111111102,-4.075957678369209e-16,-2.312964634635751e-17,,0.22222222222222235,0.11111111111111116,2.000000000000001,2.000000000000001,False,False,[],,,False,,{},-inf,True,non_interior
241,"(CooperateBot, CupodBot, DBot, DefectBot, OBot, TitForTatBot, EBot)",7,11110111,0.49999999999999983,0.05555555555555558,-0.16666666666666674,0.5000000000000003,,-0.05555555555555555,0.1666666666666666,0.0,0.9999999999999993,0.9999999999999992,False,False,[],,,False,,{},-inf,True,non_interior
242,"(CooperateBot, CupodBot, DBot, DupocBot, OBot, TitForTatBot, EBot)",7,11101111,1.0000000000000013,-7.993605777301126e-16,-1.0000000000000042,,6.698503733333117e-16,-3.2867820526029055e-16,-6.630498619289125e-16,1.0000000000000042,2.0000000000000004,2.0000000000000004,False,False,[],,,False,,{},-inf,True,non_interior
243,"(CooperateBot, CupodBot, DefectBot, DupocBot, OBot, TitForTatBot, EBot)",7,11011111,,,,,,,,,,,False,True,[],,,False,,{},-inf,True,singular
244,"(CooperateBot, DBot, DefectBot, DupocBot, OBot, TitForTatBot, EBot)",7,10111111,0.6666666666666666,,-1.295260195396016e-16,3.608224830031759e-16,0.11111111111111106,-6.47630097698008e-17,0.22222222222222224,-2.158766992326695e-17,1.9999999999999993,1.9999999999999998,False,False,[],,,False,,{},-inf,True,non_interior
245,"(CupodBot, DBot, DefectBot, DupocBot, OBot, TitForTatBot, EBot)",7,01111111,,-0.5,-0.49999999999999994,1.5,0.5,-0.0,0.0,0.0,-1.4999999999999998,-1.5,False,False,[],,,False,,{},-inf,True,non_interior
246,"(CooperateBot, CupodBot, DBot, DefectBot, DupocBot, OBot, TitForTatBot, EBot)",8,11111111,0.3333333333333334,-0.22222222222222204,-0.33333333333333326,0.9999999999999998,0.22222222222222207,-0.1111111111111111,0.11111111111111116,-9.251858538543017e-18,4.440892098500621e-16,4.6790417905112695e-16,False,False,[],,,False,,{},-inf,True,non_interior
