t,alpha,zoo,family,fingerprint,n_ne,n_components,max_ne_coop,n_coop_components,full_coop_exists,n_stable_faces,moran_ss,realized_coop
0.0,0.8,body+twins+natives,epsilon,c2b7c4a9bd2f,121,1,0.0,0,False,0,—,0.0
0.2,0.8,body+twins+natives,epsilon,b3215a5e65eb,36,1,0.0,0,False,2,CIM+Dup+Max,0.010929000000000001
0.4,0.8,body+twins+natives,epsilon,b3215a5e65eb,36,1,0.0,0,False,2,CIM+Dup+Max,0.010929000000000001
0.6,0.8,body+twins+natives,epsilon,2e5b71550b3d,36,1,0.0,0,False,6,Max,0.040936
0.8,0.8,body+twins+natives,epsilon,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
1.0,0.8,body+twins+natives,epsilon,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
0.0,1.0,body+twins+natives,epsilon,28ca9e478fb9,169,1,0.0,0,False,0,—,0.0
0.2,1.0,body+twins+natives,epsilon,28ca9e478fb9,169,1,0.0,0,False,0,—,0.0
0.4,1.0,body+twins+natives,epsilon,28ca9e478fb9,169,1,0.0,0,False,0,—,0.0
0.6,1.0,body+twins+natives,epsilon,28ca9e478fb9,169,1,0.0,0,False,0,—,0.0
0.8,1.0,body+twins+natives,epsilon,28ca9e478fb9,169,1,0.0,0,False,0,—,0.0
1.0,1.0,body+twins+natives,epsilon,6dc149db6632,272,2,1.0,1,True,6,CIM+Dup+Max+Min,0.974782
