t,alpha,zoo,family,fingerprint,run,n_types,is_fully_proven,n_pure_ess,edges_strict,n_sccs,n_cycles,n_supports,n_stable_faces,n_extreme_ne,n_ne_components,n_attractors,largest_basin,dominant_support,moran_ss,moran_population,moran_beta
0.2,0.8,body+twins,behavioral,2e8ec4080b92,body+twins_t020_a080_2e8ec4080b92,12,True,0,34,12,0,4083,0,25,1,18,0.945274,CIM+Def+Dup+OB+Pru,CIM+Dup,100,1.0
0.2,1.0,body+twins,behavioral,9e838945e70a,body+twins_t080_a100_9e838945e70a,12,True,0,11,12,0,4083,0,121,1,24,0.905473,CIM+Cup+CupT+DB+DIM+Def+Dup+EB+OB+Pru+TFT,—,100,1.0
0.0,0.0,body+twins,behavioral,f7df4db66078,body+twins_t100_a000_f7df4db66078,12,True,0,0,12,0,4083,0,144,1,26,0.870647,CIM+Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+Pru+TFT,—,100,1.0
0.0,0.3,body+twins,behavioral,68f53b781581,body+twins_t000_a030_68f53b781581,12,True,0,27,12,0,4083,0,9,1,13,1.0,Def+OB+Pru,Def+OB+Pru,100,1.0
0.0,0.45,body+twins,behavioral,596dd0e9580c,body+twins_t000_a045_596dd0e9580c,12,True,0,35,12,0,4083,0,25,1,15,0.985075,CIM+Def+Dup+OB+Pru,CIM+Def+Dup+OB+Pru,100,1.0
0.0,0.62,body+twins,behavioral,596dd0e9580c,body+twins_t000_a045_596dd0e9580c,12,True,0,35,12,0,4083,0,25,1,15,0.985075,CIM+Def+Dup+OB+Pru,CIM+Def+Dup+OB+Pru,100,1.0
0.0,0.8,body+twins,behavioral,dabbd1a3162d,body+twins_t000_a080_dabbd1a3162d,12,True,0,20,12,0,4083,0,100,1,23,0.915423,CIM+Cup+DB+DIM+Def+Dup+EB+OB+Pru+TFT,—,100,1.0
0.0,1.0,body+twins,behavioral,9e838945e70a,body+twins_t080_a100_9e838945e70a,12,True,0,11,12,0,4083,0,121,1,24,0.905473,CIM+Cup+CupT+DB+DIM+Def+Dup+EB+OB+Pru+TFT,—,100,1.0
1.0,0.0,body+twins,syntactic,f7df4db66078,body+twins_syntactic_t100_a000_f7df4db66078,12,True,0,0,12,0,4083,0,144,1,26,0.870647,CIM+Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+Pru+TFT,—,100,1.0
1.0,0.3,body+twins,syntactic,f3e66e570e00,body+twins_syntactic_t100_a030_f3e66e570e00,12,True,0,44,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
1.0,0.45,body+twins,syntactic,f3e66e570e00,body+twins_syntactic_t100_a030_f3e66e570e00,12,True,0,44,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
1.0,0.62,body+twins,syntactic,f3e66e570e00,body+twins_syntactic_t100_a030_f3e66e570e00,12,True,0,44,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
1.0,0.8,body+twins,syntactic,f3e66e570e00,body+twins_syntactic_t100_a030_f3e66e570e00,12,True,0,44,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
1.0,1.0,body+twins,syntactic,f3e66e570e00,body+twins_syntactic_t100_a030_f3e66e570e00,12,True,0,44,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.8,0.0,body+twins,syntactic,f7df4db66078,body+twins_syntactic_t100_a000_f7df4db66078,12,True,0,0,12,0,4083,0,144,1,26,0.870647,CIM+Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+Pru+TFT,—,100,1.0
0.8,0.3,body+twins,syntactic,f3e66e570e00,body+twins_syntactic_t100_a030_f3e66e570e00,12,True,0,44,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.8,0.45,body+twins,syntactic,f3e66e570e00,body+twins_syntactic_t100_a030_f3e66e570e00,12,True,0,44,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.8,0.62,body+twins,syntactic,f3e66e570e00,body+twins_syntactic_t100_a030_f3e66e570e00,12,True,0,44,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.8,0.8,body+twins,syntactic,f3e66e570e00,body+twins_syntactic_t100_a030_f3e66e570e00,12,True,0,44,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.8,1.0,body+twins,syntactic,9e838945e70a,body+twins_syntactic_t080_a100_9e838945e70a,12,True,0,11,12,0,4083,0,121,1,24,0.905473,CIM+Cup+CupT+DB+DIM+Def+Dup+EB+OB+Pru+TFT,—,100,1.0
0.6,0.0,body+twins,syntactic,f7df4db66078,body+twins_syntactic_t100_a000_f7df4db66078,12,True,0,0,12,0,4083,0,144,1,26,0.870647,CIM+Coop+Cup+CupT+DB+DIM+Def+Dup+EB+OB+Pru+TFT,—,100,1.0
0.6,0.3,body+twins,syntactic,ee207f993047,body+twins_syntactic_t060_a030_ee207f993047,12,True,0,45,5,69,4083,8,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.6,0.45,body+twins,syntactic,f3e66e570e00,body+twins_syntactic_t100_a030_f3e66e570e00,12,True,0,44,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
0.6,0.62,body+twins,syntactic,f3e66e570e00,body+twins_syntactic_t100_a030_f3e66e570e00,12,True,0,44,5,39,4083,6,80,2,17,0.9801,CIM+Coop+Dup+TFT,CIM+Dup,100,1.0
